battery,cycle_num,Capacity,Residual,IMF1,IMF2,IMF3,IMF4,IMF5,IMF6
B0005,1,1.8564874208181574,3.227044071705367,-0.21402336650960324,0.15165474800368733,0.3182684918462963,-0.8258397597363105,0.24123047345423623,-1.0418472380951034
B0005,2,1.846327249719927,3.148890176789814,-0.18703404658294367,0.12680859552633916,0.27289847979985893,-0.7273489203982175,0.18662258224223235,-0.9745096178013926
B0005,3,1.8353491942234077,3.0713659089019423,-0.16365651185224625,0.10329236523024592,0.2328317509346847,-0.6375884545427166,0.13768576627556015,-0.908581630862516
B0005,4,1.8352625275821128,2.997514835785687,-0.13253382956923634,0.08253507412577547,0.1954476214701856,-0.5562308067816258,0.09518356544397706,-0.8466539330310578
B0005,5,1.8346455082120419,2.92513306828678,-0.10520122549297484,0.06453228595814425,0.163101520971696,-0.4840329378356669,0.05938094034517336,-0.7882681441591926
B0005,6,1.8356616600675495,2.8560191649362197,-0.0788315728264878,0.049172992966339715,0.1332499836610164,-0.41834731486500176,0.027243756565729242,-0.732845350508884
B0005,7,1.8351461429226603,2.7890642905546073,-0.05772292112537859,0.036585878468914285,0.10777668814479804,-0.3607497251957309,0.0009793995267635058,-0.6807874675896598
B0005,8,1.8257567905665537,2.723350552269718,-0.04726113270766048,0.024688271236250534,0.086001252900795,-0.3101354914590665,-0.020386262080705292,-0.6305003997261778
B0005,9,1.8247738529891333,2.660627269021041,-0.031517934641456066,0.015635924226759322,0.06650153830328479,-0.2651185891316696,-0.03848793322260196,-0.5828664216991069
B0005,10,1.824613268496936,2.5995301753825224,-0.017042046935085778,0.0076550727462112965,0.05057089437772573,-0.22607665916442904,-0.05176266073974847,-0.5382615073030581
B0005,11,1.8246195526864504,2.541787100317355,-0.005779058653597849,0.0028137126765419513,0.036314582973145805,-0.19221504966273764,-0.06206722602344635,-0.49623450907361244
B0005,12,1.8142019357673917,2.486049323618584,-0.005821705035702645,-0.0021999800206201747,0.024965875288493027,-0.16318990759514848,-0.06961797667915715,-0.45598369393637084
B0005,13,1.8137521577549054,2.431532720546635,0.0024228759564084634,-0.0072087912481735355,0.01640153599543143,-0.13761668709347913,-0.07411586211831998,-0.41766363441067433
B0005,14,1.8134404914735822,2.3811598659257416,0.008310049781811386,-0.010821513729438414,0.009475681990859764,-0.11549453612532601,-0.0761610843604532,-0.38302797213652606
B0005,15,1.8025980036306504,2.33166628261403,0.0017423998802404586,-0.013552184196921575,0.004613455263287608,-0.09716449101722072,-0.0757529801502733,-0.34895447888369435
B0005,16,1.80210690024615,2.2841867923114765,0.00396745123630375,-0.016860372123741682,0.0021362258022324383,-0.08040308687479182,-0.07504866336148233,-0.31587144686478985
B0005,17,1.802579500826209,2.2395352462547704,0.0029207826057267533,-0.016020026527863516,0.0004249045729760799,-0.06737154758352094,-0.07132541641639262,-0.28558444220067897
B0005,18,1.8030683142834096,2.1973782321967676,-0.003372852973361889,-0.011398216868520385,-0.0001390112276518125,-0.0547059346419794,-0.06733819562578763,-0.25735570669750635
B0005,19,1.8027776247196041,2.157447914030187,-0.015631295644629548,-0.0014369458704100039,-0.0002965427647891037,-0.0443020361664064,-0.0623357299435953,-0.2306677390420492
B0005,20,1.8470259949329193,2.1196327160844217,0.015993071291736095,0.009331138876920846,-0.0006239404118115628,-0.03489409355737445,-0.05724366021805527,-0.20516923727752207
B0005,21,1.847417311283644,2.0844731970072274,0.006681936211287658,0.016992238975812892,0.00035216901995721524,-0.027642396748945475,-0.050823944238783975,-0.18261588908772192
B0005,22,1.8361774213478947,2.0512320492703995,-0.0074015601069194635,0.019516220107182083,0.0005138882889533156,-0.02215962547035466,-0.04563299992607691,-0.15989055095417853
B0005,23,1.8257807475776242,2.0210300737135483,-0.01372548536950186,0.015442915334958706,0.00029142374062103007,-0.016490094601254644,-0.040734411974080634,-0.14003367340008008
B0005,24,1.8251136435078368,1.9918611217185296,-0.005183588105296761,0.007303255206657217,-4.582824869737569e-05,-0.013349043242243612,-0.03475268124076062,-0.1207195927134136
B0005,25,1.8255815042203762,1.966033770476817,0.006609992926205799,-0.0037060218631642526,0.0005583840217873552,-0.01067524206876649,-0.0299502009349663,-0.10328917847084515
B0005,26,1.8140311275083907,1.9424152991602441,0.004043174123216469,-0.011269630180723592,-0.00074917313914501,-0.007705534560377292,-0.02599704690340202,-0.08670596111864622
B0005,27,1.8147691941158939,1.9205302229874084,0.011249396685271537,-0.017147588667895564,-0.0005814371170134155,-0.006605336860002354,-0.021650365965677116,-0.07102569707381057
B0005,28,1.813969388710352,1.9018990019615465,0.011696872227080672,-0.0182991115628197,-0.0006198862096257875,-0.005199810288862145,-0.01767853920678471,-0.057829138337374415
B0005,29,1.802765665167823,1.8848346332124963,-0.00716484615721096,-0.010749961654470747,-0.0009652566904493396,-0.0032706141883080612,-0.014013730267011026,-0.04590455920851349
B0005,30,1.804077040117352,1.8697436411347415,-0.017668388813540895,-0.00010702222084019529,-0.00042739074433288156,-0.0023708364832694504,-0.01017106112529743,-0.03492190175208948
B0005,31,1.8518025516704486,1.8562203246084534,0.017834705146794482,0.011358357403970067,0.0009591016522930704,-0.0019032282115631625,-0.006644990965082047,-0.026021718111537293
B0005,32,1.8307038456739428,1.8436207706406589,-0.006781154133852673,0.015568170036393334,0.001404906978979736,-0.0005496391816919964,-0.004927023000620419,-0.01763218580193062
B0005,33,1.8199041089501267,1.832574074110026,-0.013997156996643983,0.013812921260190989,0.0013536168564887829,0.0006724296612127811,-0.0030503366888711973,-0.0114614393825945
B0005,34,1.8093079637028517,1.8222409018704466,-0.015032856691043405,0.007904663815266966,0.0020647956337004887,-9.738630372460061e-05,-0.0003586268079353536,-0.0074135279385952775
B0005,35,1.80460990458052,1.8129908161211385,-0.0072924328354894395,0.0009450540002790859,0.0014369300641886961,0.0006256939729406285,0.0003779541925423153,-0.0044741110573414304
B0005,36,1.7993770651972192,1.8030243966451045,-0.0004777569148431095,-0.0037803094511421396,0.0009353360245822837,0.0007474671294385638,4.507050493560805e-06,-0.0010765754059196696
B0005,37,1.7884432335370462,1.7945975465521018,-0.0017009648167790425,-0.005793183954064714,0.0009336099852113599,0.0004591595961322443,0.00030412131184246464,-0.00035705525114374144
B0005,38,1.7829230484252723,1.7865079701435336,0.0003861867683051796,-0.004159101494759039,-0.0006307032960507131,0.0002611797644125299,0.0005708781686685243,-1.3361739675885954e-05
B0005,39,1.7730337158018288,1.7787657704913806,-0.0034049127633525114,-0.0015206456944245614,-0.0010373544038038795,-0.0006343246839186532,0.0002589253098127996,0.0006062574405059447
B0005,40,1.773037755078937,1.7732460032814976,0.0021524521920507156,0.0012022859854597177,-0.0019320286931279532,-0.0010914525449453498,-0.0003652951830562772,-0.00017421006457272415
B0005,41,1.7678721106662054,1.7679174487788696,0.003096783866795687,0.0020572109230420797,-0.0020066630798452716,-0.0014517368815873473,-0.0008703201744376738,-0.0008706128695419228
B0005,42,1.7623150704093087,1.7638687477010881,0.0043544416819640075,0.00010745365409130886,-0.0027222843700328925,-0.0013857054911999463,-0.0014312805382810229,-0.0004763023283039348
B0005,43,1.7676172924938447,1.7613004949032671,0.01746548652779027,-0.0028518888970499416,-0.004669426998649015,-0.0017901380271892649,-0.0012210132976172084,-0.0006162218194832615
B0005,44,1.762668359743147,1.7607640679105536,0.017403241036228312,-0.007609867549556543,-0.003732157063089919,-0.002154107463393114,-0.0009510056610100379,-0.001051811566754508
B0005,45,1.7517304870664143,1.760851172226453,0.006671029120664942,-0.009537403812324511,-0.0027928322344402704,-0.001612795176249483,-0.0011455813822760503,-0.0007031017698211038
B0005,46,1.7418496047960008,1.7615474521542658,-0.008458856184656282,-0.008407342810796697,-0.0012908625588315642,-0.0012616496259848175,-0.00026220203195832933,-1.693423524027844e-05
B0005,47,1.7360913511847138,1.7627413435435217,-0.023074265955718612,-0.003977841846497034,0.00015098778434829182,8.831852730731742e-05,0.0003929262713504499,-0.00023011722576832098
B0005,48,1.7936240148573608,1.7638303268108286,0.022905030853821166,0.003439024064700264,0.0019132947588549195,0.0007261996844194054,0.0010691443100852812,-0.00025900574182389135
B0005,49,1.7831890223273275,1.7632765918519233,0.005388533627121802,0.008063969911892633,0.0031906028330016484,0.001487979442691952,0.0005737366646371253,0.0012076078850807351
B0005,50,1.7673642076278957,1.7626711284335836,-0.010612097062416089,0.007747272683022706,0.004433935800002555,0.0016299682887100206,0.0013646003873369842,0.00012939899501321816
B0005,51,1.7570177850353066,1.7590098251985504,-0.015359685448471612,0.006497157641512932,0.00298003410611064,0.0018628909825474163,0.0010471792196712494,0.0009803832381927648
B0005,52,1.7468706179837907,1.754412379422961,-0.015143164134807454,0.002483827644970121,0.0024993456189097785,0.0009104757241734022,0.001372593673088605,0.00033515994264774173
B0005,53,1.7417172507457144,1.747901155485194,-0.007397331271863405,-0.0015799356782235062,0.0011623600155378406,0.0002167433104317614,0.0008285347458637405,0.0005857240496406769
B0005,54,1.7364225056478186,1.7405153863239728,-2.547480005660645e-06,-0.0042475163271672315,-0.0002860394319175569,0.00030697592396084487,-0.00020376851856201468,0.0003400150711930934
B0005,55,1.7263217239235826,1.7328375809430545,0.0008545454563024393,-0.005184623107993,-0.0013098943354825055,-9.249139799237811e-05,-8.200725193688687e-05,-0.0007013864633932396
B0005,56,1.7158065389330133,1.7233677777377572,-0.001582974239352295,-0.0037760610259905056,-0.0013798921349662194,-0.0004845243790602445,-0.0005334799392509701,0.00019569283839140643
B0005,57,1.710533351135192,1.7145738473105676,-0.0008761802408679423,-0.0010410873721542423,-0.001155360809865898,0.00013955935089771167,-0.00100478820847294,-0.00010263896761976734
B0005,58,1.706014499648521,1.7062252347399616,0.0007456624263238441,0.0011603683447660917,-0.0011601254508450498,-0.0008846281436111788,-3.64872072880821e-05,-3.552513111334983e-05
B0005,59,1.7003110272642588,1.6984040727790157,0.0022109569323064634,0.0012482520421937863,-0.001173516790715844,-0.00044565265514414943,0.0006960767933818753,-0.0006291619041017824
B0005,60,1.6945798601797895,1.6908580755065565,0.003253495555325412,0.0003557626676922296,0.00010374243531701269,0.00032311993105459407,-8.878127747722219e-05,-0.00022555470298304996
B0005,61,1.6849029086609286,1.683497995096039,0.00041933215841081047,-0.0006228112138456023,0.0007777900745062354,0.0004664451914334766,-0.00010009882359727855,0.00046425611877550204
B0005,62,1.6744741591159717,1.677373934129893,-0.0032017598714972244,-0.0005676031916740881,0.00038983094240891515,0.00033503802355632113,0.00013651876854358164,8.200261028012178e-06
B0005,63,1.6745692479879102,1.6706039137050326,0.003228163298643742,0.00021998198446190992,-7.60219660462737e-05,-0.00014626301535525523,0.0005437760196363904,0.00019569790777378083
B0005,64,1.663716375981405,1.6643027405755337,-0.001767500415046679,0.0007541760848842944,-4.358528721351425e-05,-6.291116254054715e-05,0.0003461275551018755,0.0001873285826393084
B0005,65,1.659013868748246,1.6583440152566964,0.0005121300714382943,0.00012039367154932583,4.907457061169091e-05,-0.00018189570532204573,0.0006261200764978661,-0.000455969238795197
B0005,66,1.6538540573335014,1.6515079840938274,0.0026748815012412877,-0.0008419063329244585,0.0005649228439059147,0.0001584411543694699,-0.0005274260939390246,0.0003171601241690538
B0005,67,1.642653782130131,1.6456559416246828,-0.002610061409921826,-0.0002808051840015591,0.00022585494649758983,0.00014444514015472828,-0.0001364422919558795,-0.00034515073227686633
B0005,68,1.6378578430223698,1.6388728695786978,-0.00047538846081241566,-0.00041037061403010494,-0.0003494759027972218,0.00017425779805066582,-4.866255613554959e-05,9.461314497072982e-05
B0005,69,1.6327350407099108,1.632104419673072,-1.6264471885114255e-05,0.0007349892252100687,-0.00022963268799523838,-0.00013215497929866296,0.0002759292896972097,-2.245370616840393e-06
B0005,70,1.6277528915533617,1.6259567955977878,0.0013754705289733373,0.00014605636051332306,0.00017672418787630914,0.00018225023024077774,-2.6472234912580233e-05,-5.793314622041491e-05
B0005,71,1.622125485521159,1.6198510320079949,0.0020905957791230827,0.0004963468269884234,0.0001605165922866017,-0.0003116908245611634,-5.186645876017881e-05,-0.00010944842805131889
B0005,72,1.6113256603765849,1.6142366905569492,-0.0018586124845036153,-0.00018849647674578352,-0.0006949036995945846,0.0004178308322062806,-0.0004428575581160573,-0.00014399081406065405
B0005,73,1.6065631397488385,1.6083139773320465,0.00016193427788010852,-0.0011575786002781371,-0.00010446793401593674,-0.00036677540114356087,-0.00016713149699328946,-0.00011681844659880186
B0005,74,1.6015142233917594,1.6026958298409786,0.001416037824726071,-0.001808721886542197,1.9928428042308036e-05,-0.0005269032841263829,0.00017056826160328096,-0.0004525158082043079
B0005,75,1.590369231400328,1.5963906997826764,-0.0045998878342795105,-0.0014618991450424733,-0.00020576727136440839,-0.00023974250897575367,-1.1319809216468552e-06,0.00048696034882381986
B0005,76,1.5857889968242211,1.5905282644431677,-0.005249588401464756,-0.00037117167550938004,0.0006498370414355807,-5.0221563147008476e-05,0.0003600385580767399,-7.81615853364983e-05
B0005,77,1.5849430707374117,1.5832997954984314,-0.0030920135636956455,0.0030584222166991242,0.00031987740098678933,0.00048411454669002404,0.0003469445156185629,0.0005259301161281442
B0005,78,1.5955263892495937,1.5769975760647503,0.011054601352088482,0.005598647142390114,0.0008670002719187997,0.00041385463003916403,6.037286054762364e-05,0.0005343369157312209
B0005,79,1.5747301747801037,1.5698773190822246,-0.00440623746145113,0.007537850612474377,0.0010289680708338114,-0.00010259387661905584,0.0005795694050681548,0.00021529894639921892
B0005,80,1.5649019950937946,1.563611153244472,-0.006297500344254839,0.007170659504121523,-0.0002720660341459601,0.0007937078668974182,-0.00044206613125292364,0.00033810699196047445
B0005,81,1.5597659473370362,1.5581705606574479,-0.00047734480502560834,0.002660067678844169,-6.200399446279405e-05,0.00026874314790791703,-7.973062764399048e-05,-0.0007143447133227595
B0005,82,1.5594815668184234,1.553106066888568,0.011409788003926984,-0.0031822688122074513,-0.0009041501151496753,1.0928013559068269e-05,-0.0007375397457641784,-0.0002212574076506547
B0005,83,1.55468935359061,1.5493618582504258,0.016794875367641866,-0.00798108794770458,-0.0016314809778713278,-0.0010316380648328475,0.00036069925087825347,-0.0011838722785445926
B0005,84,1.5488741079890418,1.547045646145,0.018165942133831037,-0.012007634516307859,-0.002013430980634242,-0.000621860252311775,-0.0010427745758379637,-0.0006517799522514648
B0005,85,1.538236598942558,1.5462859516964964,0.011304444693725055,-0.015061600068071283,-0.0021797068348567926,-0.0001498131480970142,-0.0005983698805730636,-0.0013643074980163072
B0005,86,1.527914258251028,1.5460048527609391,-0.0003157232750841783,-0.01479356347553579,-0.0017918689902748967,-0.0010635879442383762,4.884668017542707e-06,-0.00013073546930919108
B0005,87,1.5285252629756445,1.5475484500645167,-0.005088589245685014,-0.011844134726941825,-0.0013227828354530553,-0.00032368921245045165,-0.00030933431260943186,-0.00013465673256775107
B0005,88,1.522647325284378,1.5493658805563215,-0.019927923208563538,-0.007431489973351971,0.0006586672603859158,0.000252652371386933,-0.00029623517820231635,2.5773482662215133e-05
B0005,89,1.5174859938489869,1.5503749146629089,-0.03726539695576509,0.0016534175216156592,0.0009263656745496651,0.00032317436015938633,0.00029121372567279856,0.001182304888824994
B0005,90,1.605818899130659,1.551429678472254,0.03746673332269541,0.012228417330898958,0.002543758901453033,0.0005881389495046509,0.0007534920586184938,0.0008086800776849118
B0005,91,1.5638491446744425,1.5511545528987976,-0.010997163684072667,0.018197111420129856,0.0028743439377850472,0.0014091959575219994,0.0007414472227041698,0.0004696569261344487
B0005,92,1.5480915247767786,1.5482103819599162,-0.02542953364435624,0.01931482169561737,0.002745423511315669,0.0009379604853792494,0.0008795996559608683,0.0014328711258035803
B0005,93,1.5323755631868592,1.5443737247997928,-0.03257792529997061,0.01562356219077581,0.002856640279611973,0.0008044081916573031,0.0003617069589332798,0.0009334460871949679
B0005,94,1.5269528268489705,1.5389521663025258,-0.024023191442329474,0.009218253161782512,0.0017783708634772119,0.0002072847356747873,0.000917248026633277,-9.73047748007526e-05
B0005,95,1.5169573017136326,1.5319157528368668,-0.01603868526902207,0.000989668786814114,5.267656100222291e-05,-0.0002615524688563524,0.0007067217231249271,-0.0004072804270390927
B0005,96,1.5118975960142693,1.5243478477264285,-0.0027665251420806677,-0.007556215398199436,-0.00076189937798695,-1.5284271527522144e-05,-0.0004922439873110905,-0.0008580835031304523
B0005,97,1.5065638960681105,1.5160140987737674,0.00839037300649703,-0.014310462332500804,-0.0011177567174216064,-0.0007632435370875686,-0.0003422178244724206,-0.0013068952659390175
B0005,98,1.5015453526671363,1.5072284134459082,0.014887823810583522,-0.017003919338926133,-0.0018249571728894578,-0.0007720629036657885,-0.0007521093496497462,-0.0002178357868482463
B0005,99,1.4908444050400238,1.4988417843892088,0.008770306201127941,-0.014447576880058339,-0.0016875521181820353,-0.0002931272035355241,-0.00024437026149457767,-9.505904402959101e-05
B0005,100,1.485868384561201,1.4913342908460068,0.003668839480069614,-0.00807831254664598,-0.0018108945591394528,-0.0006275242399580514,0.00013692992311230712,0.0012450557033898155
B0005,101,1.480413677976106,1.4839903578762998,-0.004648248353314787,-0.0010825421534537989,-0.0003252817369290487,-0.0008937528827045799,0.0009535113802407244,0.002419633894474724
B0005,102,1.4752095869031632,1.4759810234085338,-0.012519021204663035,0.005801032341412918,-0.00042735448667729294,0.00010342688424632446,0.0006500965786996097,0.005620383432859202
B0005,103,1.4859035988304024,1.4684717459858354,-0.0033071531573076367,0.010257998659199283,3.431368082910475e-05,0.0005081469106572674,0.0018919911592484185,0.00804655563755586
B0005,104,1.4960918298136696,1.4604013460858194,0.009837709948350183,0.009928700810562893,0.000803642981243302,0.0006250099834359444,0.0028671766348983695,0.011628243409608186
B0005,105,1.4808005946928984,1.4521995138449968,0.001981056511446112,0.006173991073307242,0.001000265803699794,0.00011411807562359354,0.003353378681756072,0.01597827075037204
B0005,106,1.4697543268466824,1.4432339452324545,-0.0005850206332941344,0.002441451692067373,0.0006162413736562496,0.0003784217584140459,0.003921239054955434,0.01974804842255074
B0005,107,1.4539012274845928,1.4329702057463831,-0.007592453730341018,-0.001247269208052207,-6.716454609915813e-05,0.0005935526591100957,0.004581614307641014,0.02466274231842334
B0005,108,1.4541462067235693,1.4214235457424753,-0.0006133897872877482,-0.0029902228620895897,0.0002805529732418885,0.000875582597700234,0.005124675911624472,0.03004546221024804
B0005,109,1.455023751906683,1.4094293466574832,0.005914867974684265,-0.002629852796445531,0.00018767439095100855,-6.494242558849964e-05,0.006706021562014874,0.03548063660546482
B0005,110,1.449042163761236,1.3969465005327022,0.003418176898137843,0.00023470010183444866,0.00013770264893144218,-0.0006173633183709051,0.007976493030343998,0.04094595393268886
B0005,111,1.4386709371480566,1.3825623212525608,-0.002858108739804427,0.002024867015421961,7.564606216656564e-05,-0.0005279528437269125,0.008859386353003644,0.04853477811892973
B0005,112,1.433445432156979,1.3686243102122748,-0.0030975208699070933,0.002798949272332562,-0.00020809322708766035,0.00014247543375163496,0.009404534013932236,0.05578077739492983
B0005,113,1.4333958900838095,1.3542026784189645,0.0034926172620865876,0.0019337687203710425,-0.000556885891962626,-0.00048560924687348646,0.01022483362879579,0.06458448726570123
B0005,114,1.42806487344776,1.3395331399299275,0.004649284819290611,-0.000598660371294348,-0.0008950928600575305,-0.00047768892314944077,0.012571244861438747,0.07328264606768581
B0005,115,1.4229203181741186,1.3243527377240327,0.003983812735105234,-0.001653237271135599,-0.0004642316024961267,-0.0014083734370698884,0.01373239353898918,0.08437721656548455
B0005,116,1.417429032731308,1.3093369633785596,0.001534653927673491,-0.0029390571128001418,-0.0008496900986464258,-0.0009025390352704369,0.015561414013522698,0.09568728773995298
B0005,117,1.412409228794446,1.2933837890264508,-0.002032723690015218,-0.0038928545668143895,-0.0011285081893303195,-0.00026767009336312443,0.01684849770933336,0.10949869868251307
B0005,118,1.412578792940193,1.2771612728171184,-0.003417220297060964,-0.003152017172364671,-0.00022534583116217444,-0.00048691156309831074,0.019399963050449658,0.12329905202054982
B0005,119,1.4075983731469897,1.2606087382374527,-0.011935988409875295,-0.0009935136887617795,0.0003870081514696965,-0.00018976256720730036,0.022366377285627882,0.13735551422514602
B0005,120,1.4333920485221476,1.242706859522947,0.008763226722885561,0.002774003175636997,0.001211866453839945,0.0010275336532129488,0.02457028605435601,0.15233827301254477
B0005,121,1.4382550176792908,1.2234382303413356,0.011982944185052666,0.004287786746858133,0.0019581546954376356,0.0014056204002104444,0.02770747603307217,0.16747480534803805
B0005,122,1.4173547174485526,1.2046892804118932,-0.007480996739018667,0.005369501967335735,0.0020788018610969215,0.0015644175925703728,0.029930145218945572,0.18120356721745257
B0005,123,1.406981663677643,1.1835371668436458,-0.01095144314320745,0.003494443154699317,0.0023794391695262807,0.0001320366000607591,0.0326605941124667,0.19572942702763865
B0005,124,1.4012037783587625,1.1616072860191873,-0.007656495901115541,0.001287844806561735,0.0007882362489310308,-2.5361532385200443e-06,0.03504288192259167,0.21013656150607538
B0005,125,1.3967008232726328,1.1397643834114455,-0.001128597863764039,-0.0016925913507971056,-0.0008919337842189663,0.00017036421737207433,0.03729476288813195,0.22318443584706582
B0005,126,1.391284788852726,1.1169707035940089,0.0033219222123533516,-0.0036623411875699933,-0.0012413011834389,-0.0005406933454656006,0.03987227558509824,0.23656422327319532
B0005,127,1.3862287677978349,1.0938658467287525,0.005327862494254543,-0.0038170643560169132,-0.0016732858612882446,-0.001065570171644123,0.044060510723705,0.24953046833819062
