battery_id,cycle,component,value
B0005,6,IMF1,0.0018948367531889298
B0005,8,IMF1,-0.007717038854602599
B0005,10,IMF1,-0.014510926182122783
B0005,12,IMF1,0.004880663867712054
B0005,14,IMF1,0.022637192136125785
B0005,16,IMF1,-0.026695287039086347
B0005,18,IMF1,-0.010005184930848902
B0005,20,IMF1,0.007552070202899406
B0005,22,IMF1,0.03152381843754491
B0005,25,IMF1,-0.028619191572738987
B0005,27,IMF1,-0.006535033762943394
B0005,29,IMF1,0.021653002876917227
B0005,31,IMF1,-0.020929646369412733
B0005,33,IMF1,0.023204563777491864
B0005,35,IMF1,0.04688352258662787
B0005,37,IMF1,0.013888623958074314
B0005,39,IMF1,-0.0827507287405527
B0005,50,IMF1,0.078928019705824
B0005,54,IMF1,-0.056076458043262896
B0005,58,IMF1,-0.040918783935126705
B0005,62,IMF1,0.0201688365480706
B0005,66,IMF1,-0.017378764280468913
B0005,70,IMF1,0.0341810549450686
B0005,74,IMF1,0.04427385200359142
B0005,78,IMF1,-0.06268064367157668
B0005,82,IMF1,-0.08975483748105387
B0005,90,IMF1,0.08972272068241051
B0005,94,IMF1,-0.0031308457629150993
B0005,98,IMF1,-0.05273837310578421
B0005,102,IMF1,-0.01963338602453701
B0005,106,IMF1,0.014386016274784688
B0005,110,IMF1,-0.009050238538059632
B0005,114,IMF1,0.011590202151199736
B0005,118,IMF1,-0.01455336647151341
B0005,122,IMF1,0.015140548460604442
B0005,126,IMF1,-0.005768194301127254
B0005,130,IMF1,-0.0219265310958002
B0005,134,IMF1,0.06231361413555076
B0005,136,IMF1,0.05245389558268792
B0005,140,IMF1,-0.030465080179609284
B0005,144,IMF1,-0.12563465489156236
B0005,148,IMF1,-0.20961795683509
B0005,150,IMF1,0.21649556368938086
B0005,154,IMF1,0.10341788615247673
B0005,158,IMF1,-0.02348544324118643
B0005,162,IMF1,-0.07579406170478846
B0005,166,IMF1,-0.0954909637397364
B0005,170,IMF1,-0.04481689410529916
B0005,174,IMF1,0.012682269589035889
B0005,178,IMF1,0.01838465301776543
B0005,182,IMF1,-0.0027487047005911834
B0005,186,IMF1,0.0031614198395273577
B0005,190,IMF1,0.00674403789628355
B0005,194,IMF1,0.006285954902223417
B0005,198,IMF1,0.017135592488972583
B0005,202,IMF1,0.0015886172851687882
B0005,206,IMF1,-0.025183993144548566
B0005,210,IMF1,0.023706135398845786
B0005,214,IMF1,-0.020532895697044844
B0005,216,IMF1,-0.0035878008020388823
B0005,220,IMF1,0.01664908190374784
B0005,224,IMF1,-0.013698737189362181
B0005,228,IMF1,-0.0014018128400952283
B0005,232,IMF1,0.0008332965458779578
B0005,236,IMF1,0.002803979937691393
B0005,240,IMF1,0.009822919450002706
B0005,244,IMF1,-0.014887350834985835
B0005,248,IMF1,0.011261015745917976
B0005,252,IMF1,0.026978600197900535
B0005,256,IMF1,-0.027140777149524453
B0005,260,IMF1,-0.04433413865325164
B0005,264,IMF1,-0.04292500707703978
B0005,266,IMF1,0.060428707765163285
B0005,270,IMF1,-0.06908852481581572
B0005,274,IMF1,-0.0760654522812381
B0005,278,IMF1,-0.020200612228655143
B0005,282,IMF1,0.0893512822083131
B0005,286,IMF1,0.15610355481888893
B0005,290,IMF1,0.1905359945572157
B0005,294,IMF1,0.14667579516415039
B0005,298,IMF1,0.058195523501080565
B0005,302,IMF1,0.007684249752607059
B0005,306,IMF1,-0.14673046333389403
